Station,OS X,OS Y,Latitude,Longitude,Zone
Abbey Road,539081,183352,51.5319519857,0.0037377856,3
Abbey Wood,547297,179002,51.4907840804,0.1202863713,4
Acton,520296,181196,51.5168869634,-0.2676755426,3
Acton Central,520613,180299,51.508757812,-0.2634157923,2
Acton Town,519457,179639,51.5030714769,-0.2802882962,3
Albany Park,547903,172902,51.4358155902,0.126459022,5
Aldgate,533629,181246,51.5143423875,-0.0756125037,1
Aldgate East,533809,181333,51.5150816311,-0.0729870535,1
Alexandra Palace,530300,190498,51.5982628369,-0.1201345367,3
All Saints,538012,180933,51.5104769255,-0.0126104776,2
Alperton,518025,183849,51.5412093106,-0.2995013415,4
Amersham,496454,198181,51.6741293921,-0.6064993306,9
Anerley,534656,169942,51.4125167254,-0.0651227232,4
Angel,531497,183263,51.5329680281,-0.1055670341,1
Angel Road,535204,192202,51.6124203251,-0.0487184794,4
Archway,529356,186827,51.5654905502,-0.1351071516,2/3
Arnos Grove,529271,192471,51.6162301577,-0.1342557776,4
Arsenal,531429,186107,51.5585413882,-0.1054855107,2
Baker Street,527965,182078,51.5231296392,-0.1568897827,1
Balham,528482,173195,51.4431825802,-0.1526707768,3
Bank,532704,181111,51.5133470727,-0.0889857153,1
Banstead,524590,160426,51.3292931485,-0.2131179854,6
Barbican,532079,181859,51.520215295,-0.0977071679,1
Barking,544405,184343,51.5395211029,0.0808460269,4
Barkingside,544788,189510,51.5858506025,0.0884910712,4
Barnehurst,550206,176193,51.4647802666,0.1609624157,6
Barnes,522209,175705,51.4671278019,-0.2420186681,3
Barnes Bridge,521478,176255,51.4722280831,-0.2523482215,3
Barons Court,524133,178322,51.4902287077,-0.2134157438,2
Battersea Park,528703,176999,51.4773183408,-0.1481093644,2
Bayswater,525845,180799,51.5121113109,-0.1878871657,1
Beckenham Hill,538002,171379,51.4246260595,-0.0164813813,4
Beckenham Junction,537403,169840,51.410941644,-0.0256873627,4
Beckton,543145,181509,51.5143766215,0.0615397059,3
Beckton Park,542697,180887,51.5089007865,0.0548363461,3
Becontree,547598,184442,51.5395853931,0.1268947086,5
Bellingham,537702,172399,51.4338648954,-0.0203973867,3
Belmont,525500,162098,51.3441199485,-0.1994748977,5
Belsize Park,527399,185075,51.5501908973,-0.1639600724,2
Belvedere,549498,179197,51.4919589839,0.1520481938,5
Bermondsey,534461,179445,51.4979607876,-0.0643156863,2
Berrylands,519728,168040,51.3987684399,-0.280307105,5
Bethnal Green,534995,182712,51.5271917475,-0.0553776986,2
Bethnal Green Rail,534683,182380,51.5242827462,-0.0599993305,2
Bexley,549399,173502,51.4408145118,0.1482182987,6
Bexleyheath,548294,176000,51.4635499407,0.1333773579,5
Bickley,542304,168799,51.4003795632,0.0443184047,5
Birkbeck,535297,168996,51.4038631007,-0.0562718615,4
Blackfriars,531738,180890,51.5115869399,-0.1029809772,1
Blackheath,539604,175961,51.4654080094,0.0083509882,3
Blackhorse Road,535914,189256,51.5857766314,-0.03961128,3
Blackwall,538394,180649,51.5078315409,-0.007220759,2
Bond Street,528497,181053,51.5137975426,-0.1495992011,1
Borough,532379,179734,51.5010488804,-0.0941829184,1
Boston Manor,516391,178755,51.4957655746,-0.3247327859,4
Bounds Green,529996,191466,51.607031936,-0.1241626274,3/4
Bow Church,537414,182824,51.5276152056,-0.0204854861,2
Bow Road,537148,182753,51.5270418092,-0.0243451777,2
Bowes Park,530299,191498,51.6072495289,-0.1197777809,3/4
Brent Cross,523905,187927,51.5765992408,-0.213321412,3
Brentford,517462,177864,51.4875363446,-0.3096081364,4
Brimsdown,536297,196997,51.6552446177,-0.0310778234,5
Brixton,531076,175437,51.4627368156,-0.1145377049,2
Brockley,536405,175801,51.4647496667,-0.0377338572,2
Bromley North,540395,169699,51.4089423085,0.0172498278,4
Bromley South,540431,168705,51.4000012861,0.0173739535,5
Bromley-by-Bow,538034,182532,51.5248402011,-0.0116679621,2/3
Brondesbury,524718,184460,51.5452623868,-0.2028240671,2
Brondesbury Park,524202,183898,51.5403253911,-0.2104595296,2
Bruce Grove,533758,190115,51.5940112544,-0.0703845555,3
Buckhurst Hill,541768,193957,51.6265766547,0.0467269858,5
Burnt Oak,520303,190728,51.6025519438,-0.2643162756,4
Bush Hill Park,533696,195396,51.6414819673,-0.0692659633,5
Bushey,511860,195318,51.6455442063,-0.3847070912,8
Caledonian Road,530568,184899,51.547885455,-0.1183464424,2
Caledonian Road and Barnsbury,530800,184393,51.543284589,-0.1151904387,2
Cambridge Heath,534855,183250,51.5320597707,-0.0571887863,2
Camden Road,529140,184191,51.5418512508,-0.1391886949,2
Camden Town,528920,183976,51.5399693693,-0.1424379641,2
Canada Water,535399,179493,51.4981684176,-0.0507927171,2
Canary Wharf,537558,180153,51.5035784062,-0.0194524346,2
Canning Town,539454,181350,51.5138702857,0.0083200415,3
Cannon Street,532623,180888,51.5113620995,-0.0902361189,1
Canonbury,532355,184979,51.548188396,-0.0925597762,2
Canons Park,518208,191246,51.6076506052,-0.2943771583,5
Carpenders Park,511826,193386,51.6281867645,-0.3858148791,7
Carshalton,527737,164858,51.3684263856,-0.1663839649,5
Carshalton Beeches,527552,163625,51.357386861,-0.1694819665,5
Castle Bar Park,515853,181770,51.5229737055,-0.3314896649,4
Catford,537245,173544,51.4442649148,-0.0265241117,3
Catford Bridge,537363,173595,51.4446946276,-0.0248074889,3
Chadwell Heath,547646,187611,51.5680468619,0.1289155375,5
Chalfont and Latimer,499610,197550,51.6679075477,-0.5610533204,8
Chalk Farm,528126,184421,51.5441491048,-0.1537186526,2
Chancery Lane,531096,181642,51.5184940298,-0.1119476172,1
Charing Cross,530234,180492,51.5083586448,-0.1247885311,1
Charlton,541108,178387,51.4868349839,0.0309560451,3
Cheam,524444,163334,51.3554602687,-0.2141969246,5
Chelsfield,546944,164021,51.3562645687,0.108998479,6
Chesham,496048,201650,51.7053800954,-0.6114151884,9
Chessington North,518415,164168,51.3642434788,-0.3004617672,6
Chessington South,517974,163319,51.3567045677,-0.3070746614,6
Chigwell,543835,193045,51.6178578625,0.0761936567,4
Chislehurst,543205,169405,51.4055984008,0.0575061962,5
Chiswick,520438,177182,51.4807815268,-0.2669989236,3
Chiswick Park,520352,178692,51.4943707463,-0.2677225197,3
Chorleywood,502596,196092,51.6542659897,-0.5183194739,7
City Thameslink,531688,181150,51.51393508,-0.1036040404,1
Clapham Common,529428,175291,51.4618036863,-0.1383005101,2
Clapham High Street,529824,175709,51.4654695294,-0.1324501091,2
Clapham Junction,527198,175520,51.4643668047,-0.1703006091,2
Clapham North,530003,175652,51.4649162304,-0.1298956695,2
Clapham South,528782,174259,51.4526765067,-0.1479696801,2/3
Clapton,534748,186531,51.5615690945,-0.0574750346,2
Clock House,536367,169545,51.4085405655,-0.0406877169,4
Cobham and Stoke D'Abernon,512362,158925,51.3183472392,-0.3890219985,
Cockfosters,528087,196424,51.6520244968,-0.1499022586,5
Colindale,521295,189937,51.5952305463,-0.2502731093,4
Colliers Wood,526831,170436,51.418759209,-0.177400721,3
Coulsdon South,529869,159056,51.3158009605,-0.1378887436,6
Covent Garden,530242,180982,51.5127602496,-0.1244924862,1
Crayford,551479,174424,51.4485467346,0.1785171044,6
Crews Hill,530973,200109,51.6844746236,-0.1068296379,6
Crofton Park,536517,174739,51.4551792962,-0.0365321915,3
Crossharbour and London Arena,537896,179301,51.4958399805,-0.01491841,2
Crouch Hill,530586,187508,51.5713271114,-0.117118858,3
Croxley,507921,195395,51.6470053339,-0.4415893477,7
Crystal Palace,534120,170557,51.4181703599,-0.0725928541,3/4
Custom House,540679,180911,51.5096220531,0.0257869177,3
Cutty Sark for Maritime Greenwich,538240,177764,51.4819444687,-0.010567468,2
Cyprus,543324,180863,51.5085265729,0.0638551629,3
Dagenham Dock,548900,183000,51.5262871785,0.1450454267,5
Dagenham East,550284,185033,51.5441873181,0.16584785,5
Dagenham Heathway,549035,184665,51.5412117723,0.1476941376,5
Dalston Junction,533580,184778,51.5460937243,-0.0749797859,2
Dalston Kingsland,533487,185062,51.5486678271,-0.0762125022,2
Dartford,554233,174379,51.4473996157,0.2180979361,
Debden,544275,196133,51.6454919909,0.0838159253,6
Denmark Hill,532697,176087,51.46820065,-0.0909734752,2
Deptford,537165,177395,51.4788900863,-0.0261819218,2
Deptford Bridge,537466,176912,51.4744767741,-0.0220380324,2/3
Devons Road,537603,182233,51.5222584693,-0.0179933427,2
Dollis Hill,522207,185132,51.5518506195,-0.238783341,3
Drayton Green,516002,180998,51.5160047153,-0.3295968505,4
Drayton Park,531426,185499,51.5530783194,-0.1057557786,2
Ealing Broadway,517920,180915,51.5148620115,-0.3019959725,3
Ealing Common,518963,180426,51.5102486905,-0.2871370104,3
Earls Court,525457,178480,51.4913566953,-0.1942994077,1/2
Earlsfield,526081,173030,51.4422388298,-0.1872583024,3
East Acton,521656,181159,51.5162634442,-0.2480978154,2
East Croydon,532904,165801,51.3757161127,-0.0918491306,5
East Dulwich,533449,175375,51.4616255922,-0.0804221792,2
East Finchley,527242,189204,51.5873325644,-0.1647294541,3
East Ham,542373,184255,51.539246158,0.0515307101,3/4
East India,538729,180753,51.5086840061,-0.0023559244,2/3
East Putney,524387,174840,51.4588798089,-0.2109838428,2/3
Eastcote,511191,187627,51.5765518715,-0.3968088711,5
Eden Park,537396,167598,51.3907961057,-0.0266553454,5
Edgware,519527,192009,51.6142296555,-0.2750792261,5
Edgware Road (Bakerloo),527026,181778,51.5206453817,-0.1705251407,1
Edgware Road (Circle/District/Hammersmith and City),527227,181711,51.5199980632,-0.1676538436,1
Edmonton Green,534273,193590,51.6251157096,-0.0616245755,4
Elephant and Castle,531940,179144,51.4958493943,-0.1007243117,1/2
Elm Park,552446,185647,51.5491245594,0.1972671018,6
Elmers End,535788,168389,51.3982911142,-0.0494494598,4
Elmstead Woods,542247,170656,51.4170806255,0.0442437211,4
Elstree and Borehamwood,519098,196299,51.65287561,-0.2798141668,6
Eltham,542690,174962,51.4556622139,0.0523436982,4
Elverson Road,537848,176243,51.4683721915,-0.0168019817,2/3
Embankment,530406,180380,51.5073125093,-0.1223529298,1
Emerson Park,553971,187918,51.5691148813,0.2202373605,6
Enfield Chase,532181,196607,51.6527221218,-0.0906897527,5
Enfield Lock,536437,198737,51.670846125,-0.0283766116,6
Enfield Town,532970,196544,51.6519700815,-0.0793154696,5
Epping,546197,201552,51.6936861516,0.1138400185,6
Epsom Downs,522805,159756,51.3236594676,-0.2389558778,6
Erith,551075,178096,51.4816476531,0.1742756878,6
Essex Road,532114,184132,51.5406333222,-0.0963511087,2
Euston,529587,182735,51.5286643464,-0.1332820584,1
Euston Square,529587,182735,51.5286643464,-0.1332820584,1
Ewell East,522571,162152,51.3452439053,-0.2414886456,6
Ewell West,521473,162654,51.3499911731,-0.2570747758,6
Fairlop,544902,190655,51.5961095315,0.0906077142,4
Falconwood,544498,175394,51.4590857862,0.0785240846,4
Farringdon,531585,181844,51.5201957006,-0.1048286512,1
Feltham,510601,173298,51.4478792228,-0.4098100933,6
Fenchurch Street,533434,180932,51.511566715,-0.0785397447,1
Finchley Central,525232,190664,51.6009032738,-0.1932062006,4
Finchley Road,526293,184703,51.5470962203,-0.1800361413,2
Finchley Road and Frognal,526035,185033,51.5501195203,-0.1836367825,2
Finsbury Park,531385,186784,51.5646354581,-0.1058670614,2
Forest Gate,540447,185322,51.5493161153,0.0242035115,3
Forest Hill,535398,172943,51.4393083184,-0.0533141191,3
Fulham Broadway,525402,177244,51.480260927,-0.1955297656,2
Fulwell,514832,171841,51.4339426077,-0.3494241414,6
Gallions Reach,543873,180935,51.5090341307,0.0717898017,3
Gants Hill,543266,188432,51.5765529434,0.0660985264,4
Gidea Park,552941,189306,51.5818657209,0.2059914108,6
Gipsy Hill,533321,171237,51.4244695325,-0.0838207868,3
Gloucester Road,526196,178848,51.4944995797,-0.1835291569,1
Golders Green,525199,187471,51.5722155567,-0.194820132,3
Goldhawk Road,523131,179616,51.502076994,-0.2273896013,2
Goodge Street,529505,181837,51.5206131255,-0.1347932793,1
Goodmayes,546462,187369,51.5661809681,0.1117440796,4
Gordon Hill,531889,197799,51.6635022486,-0.0944588436,5
Gospel Oak,528263,185677,51.5554053113,-0.1512866107,2
Grange Hill,544963,192590,51.6134804138,0.0922869699,4
Grange Park,531753,195472,51.6426230887,-0.0972999743,5
Great Portland Street,528861,182174,51.5237888131,-0.1439470134,1
Green Park,529012,180283,51.5067605015,-0.1424631691,1
Greenford,514808,183861,51.5419801128,-0.3458643227,4
Greenwich,537956,177267,51.4775476655,-0.0148486863,2/3
Grove Park,540702,172099,51.4304326404,0.0226128847,4
Gunnersbury,519843,178401,51.4918634447,-0.2751497341,3
Hackbridge,528582,165929,51.3778609179,-0.1538648322,4
Hackney Central,534922,184943,51.5472574513,-0.0555750926,2
Hackney Downs,534598,185137,51.549078092,-0.0601706852,2
Hackney Wick,537036,184588,51.5435584091,-0.0252450846,2
Hadley Wood,526197,198199,51.6684028923,-0.176566732,6
Haggerston,533560,183953,51.5386847389,-0.0755808415,2
Hainault,545124,191411,51.6028453149,0.0941229872,4
Hammersmith (District),523474,178483,51.4918198029,-0.222846527,2
Hammersmith (Met.),523346,178665,51.4934833792,-0.2246257552,2
Hampstead,526408,185757,51.5565426167,-0.1780001377,2
Hampstead Heath,527344,185631,51.5551999443,-0.1645517614,3
Hampton,513299,169797,51.4158795976,-0.372120876,6
Hampton Court,515376,168332,51.4022939189,-0.3427427787,6
Hampton Wick,517407,169752,51.4146400802,-0.3130892323,6
Hanger Lane,518506,182621,51.5300720691,-0.2929817318,3
Hanwell,515426,180560,51.5121859988,-0.3380374764,4
Harlesden,520952,183367,51.5362583588,-0.2574812585,3
Harold Wood,554858,190626,51.5932021885,0.2342185072,6
Harringay,531395,188200,51.5773579218,-0.1051938237,3
Harringay Green Lanes,531880,188189,51.5771459045,-0.098202963,3
Harrow and Wealdstone,515486,189508,51.5925946732,-0.3342382516,5
Harrow-on-the-Hill,515329,188035,51.5793881596,-0.3369870881,5
Hatch End,513024,191370,51.6098285488,-0.3691643421,6
Hatton Cross,509614,175369,51.4666853556,-0.4233661699,5/6
Haydons Road,526012,171161,51.4254573409,-0.1889149784,3
Hayes,540003,165993,51.3757367051,0.0101570179,5
Hayes and Harlington,509717,179417,51.5030491256,-0.4206274986,5
Headstone Lane,513892,190574,51.6024996695,-0.3568930778,5
Heathrow Terminal 4,507939,174565,51.4597804841,-0.4477151986,6
Heathrow Terminal 5,504934,175642,51.4700254856,-0.4906331087,6
Heathrow Terminals 1 2 3,507587,175838,51.4712894557,-0.4523928306,6
Hendon Central,522959,188631,51.5831330741,-0.2267197095,3/4
Herne Hill,531934,174486,51.4539913818,-0.1025485184,2/3
Heron Quays,537386,180127,51.503386571,-0.0219391266,2
High Barnet,525027,196310,51.6516882767,-0.1941509278,5
High Street Kensington,525622,179527,51.5007294684,-0.191551653,1
Highams Park,538581,191841,51.608355993,-0.0001208472,4
Highbury and Islington,531562,184770,51.5464955189,-0.1040677208,2
Highgate,528503,188158,51.5776466348,-0.1469204333,3
Hillingdon,507567,185015,51.5537775707,-0.4498835725,6
Hither Green,538997,174497,51.4524017218,-0.0009565229,3
