Station,OS X,OS Y,Latitude,Longitude,Zone
Baker Street,527965,182078,51.5231296392,-0.1568897827,1
Charing Cross,530234,180492,51.5083586448,-0.1247885311,1
Edgware Road (Bakerloo),527026,181778,51.5206453817,-0.1705251407,1
Elephant and Castle,531940,179144,51.4958493943,-0.1007243117,1/2
Embankment,530406,180380,51.5073125093,-0.1223529298,1
Harlesden,520952,183367,51.5362583588,-0.2574812585,3
Harrow and Wealdstone,515486,189508,51.5925946732,-0.3342382516,5
Kensal Green,523241,182784,51.5305242412,-0.2246989701,2
Kenton,516833,188304,51.581496322,-0.3152024366,4
Kilburn Park,525361,183349,51.5351355602,-0.1939516417,2
Lambeth North,531165,179489,51.4991299591,-0.111753857,1
Maida Vale,525967,182792,51.529995079,-0.1854182331,2
Marylebone,527510,181985,51.522396688,-0.1634781524,1
North Wembley,517663,186198,51.5623963284,-0.3039337954,4
Oxford Circus,529102,181227,51.5152234192,-0.1408217621,1
Paddington,526680,181185,51.5153938065,-0.1757223428,1
Piccadilly Circus,529612,180625,51.5096967645,-0.1336971897,1
Queens Park,524612,183239,51.5343126752,-0.2047837342,2
Regents Park,528765,182174,51.5238106905,-0.145329999,1
South Kenton,517350,187153,51.5710444868,-0.3081285506,4
Stonebridge Park,519690,184197,51.5439865874,-0.2753860234,3
Warwick Avenue,526158,182030,51.5231044571,-0.1829388814,2
Waterloo,531050,179933,51.5031466531,-0.1132448466,1
Wembley Central,518214,185039,51.5518648162,-0.2963779064,4
Willesden Junction,521905,182942,51.5322339929,-0.2438947288,3
