Station,OS X,OS Y,Latitude,Longitude,Zone
Bank,532704,181111,51.5133470727,-0.0889857153,1
Barkingside,544788,189510,51.5858506025,0.0884910712,4
Bethnal Green,534995,182712,51.5271917475,-0.0553776986,2
Bond Street,528497,181053,51.5137975426,-0.1495992011,1
Buckhurst Hill,541768,193957,51.6265766547,0.0467269858,5
Chancery Lane,531096,181642,51.5184940298,-0.1119476172,1
Chigwell,543835,193045,51.6178578625,0.0761936567,4
Debden,544275,196133,51.6454919909,0.0838159253,6
Ealing Broadway,517920,180915,51.5148620115,-0.3019959725,3
East Acton,521656,181159,51.5162634442,-0.2480978154,2
Epping,546197,201552,51.6936861516,0.1138400185,6
Fairlop,544902,190655,51.5961095315,0.0906077142,4
Gants Hill,543266,188432,51.5765529434,0.0660985264,4
Grange Hill,544963,192590,51.6134804138,0.0922869699,4
Greenford,514808,183861,51.5419801128,-0.3458643227,4
Hainault,545124,191411,51.6028453149,0.0941229872,4
Hanger Lane,518506,182621,51.5300720691,-0.2929817318,3
Holborn,530553,181488,51.5172357493,-0.1198260976,1
Holland Park,524564,180215,51.5071465087,-0.2065433713,2
Lancaster Gate,526711,180796,51.5118909641,-0.1754155205,1
Leyton,538295,186244,51.5581322705,-0.0064509088,3
Leytonstone,539345,187429,51.5685222874,0.009154878,3/4
Liverpool Street,533160,181596,51.5175982739,-0.0822352123,1
Loughton,542314,195641,51.6415704704,0.0552935283,6
Marble Arch,527875,181056,51.5139655107,-0.1585568075,1
Mile End,536577,182545,51.5253109739,-0.0326516719,2
Newbury Park,544947,188378,51.5756383443,0.090317586,4
North Acton,520831,181937,51.5234324588,-0.2597151162,2/3
Northolt,513228,184519,51.5482129457,-0.3684261762,5
Notting Hill Gate,525296,180481,51.5093753599,-0.1959072111,1/2
Oxford Circus,529102,181227,51.5152234192,-0.1408217621,1
Perivale,516404,183270,51.5363418604,-0.3230560063,4
Queensway,525883,180615,51.5104492554,-0.1874054954,1
Redbridge,541833,188371,51.5763669113,0.0454084725,4
Roding Valley,541612,192882,51.6169564401,0.0440406484,4
Ruislip Gardens,510367,185763,51.5599602279,-0.4092796881,5
Shepherds Bush,523741,179904,51.5045321773,-0.2185047537,2
Snaresbrook,540161,188828,51.5808912706,0.0214783578,4
South Ruislip,511080,185437,51.556890351,-0.3991014882,5
South Woodford,540577,190026,51.5915526124,0.0279575117,4
St. Pauls,532105,181261,51.5148353074,-0.0975565916,1
Stratford,538533,184421,51.5416925793,-0.0037372234,3
Theydon Bois,545509,199180,51.67255207,0.1029051953,6
Tottenham Court Road,529774,181354,51.5162108857,-0.1310960294,1
Wanstead,540685,188176,51.5749021458,0.0287749005,4
West Acton,519394,181273,51.5177701842,-0.2806427656,3
West Ruislip,508364,186791,51.5695879247,-0.4378457196,6
White City,523296,180750,51.5122324647,-0.2246175233,2
Woodford,540952,191778,51.6072018397,0.0340706407,4
