Station,OS X,OS Y,Latitude,Longitude,Zone
Aldgate,533629,181246,51.5143423875,-0.0756125037,1
Baker Street,527965,182078,51.5231296392,-0.1568897827,1
Barbican,532079,181859,51.520215295,-0.0977071679,1
Bayswater,525845,180799,51.5121113109,-0.1878871657,1
Blackfriars,531738,180890,51.5115869399,-0.1029809772,1
Cannon Street,532623,180888,51.5113620995,-0.0902361189,1
Edgware Road (Circle/District/Hammersmith and City),527227,181711,51.5199980632,-0.1676538436,1
Embankment,530406,180380,51.5073125093,-0.1223529298,1
Euston Square,529587,182735,51.5286643464,-0.1332820584,1
Farringdon,531585,181844,51.5201957006,-0.1048286512,1
Gloucester Road,526196,178848,51.4944995797,-0.1835291569,1
Goldhawk Road,523131,179616,51.502076994,-0.2273896013,2
Great Portland Street,528861,182174,51.5237888131,-0.1439470134,1
Hammersmith (Met.),523346,178665,51.4934833792,-0.2246257552,2
High Street Kensington,525622,179527,51.5007294684,-0.191551653,1
Kings Cross St. Pancras,530236,182935,51.5303124769,-0.1238577156,1
Ladbroke Grove,524284,181328,51.5172106987,-0.2101837627,2
Latimer Road,523789,180954,51.5139581247,-0.2174452573,2
Liverpool Street,533160,181596,51.5175982739,-0.0822352123,1
Mansion House,532347,180962,51.5120917612,-0.0941832495,1
Monument,532907,180814,51.510630426,-0.0861739059,1
Moorgate,532688,181677,51.5184371494,-0.0890032776,1
Notting Hill Gate,525296,180481,51.5093753599,-0.1959072111,1/2
Paddington,526680,181185,51.5153938065,-0.1757223428,1
Royal Oak,525764,181485,51.5182943753,-0.1888092635,2
Shepherds Bush Market,523121,180039,51.5058807355,-0.2273860872,2
Sloane Square,528080,178657,51.4923597829,-0.1564744555,1
South Kensington,526865,178817,51.4940713864,-0.1739086206,1
St. James's Park,529629,179503,51.4996098103,-0.1338643511,1
Temple,530995,180810,51.5110406207,-0.1137113424,1
Tower Hill,533566,180805,51.5103942821,-0.0766867908,1
Victoria,528941,179131,51.4964239699,-0.1439063031,1
Westbourne Park,524920,181764,51.5209888655,-0.2008681042,2
Westminster,530240,179718,51.5014016062,-0.1249876744,1
Wood Lane,523314,180464,51.5096582218,-0.2244582013,2
