Station,OS X,OS Y,Latitude,Longitude,Zone
Acton Town,519457,179639,51.5030714769,-0.2802882962,3
Aldgate East,533809,181333,51.5150816311,-0.0729870535,1
Barking,544405,184343,51.5395211029,0.0808460269,4
Barons Court,524133,178322,51.4902287077,-0.2134157438,2
Bayswater,525845,180799,51.5121113109,-0.1878871657,1
Becontree,547598,184442,51.5395853931,0.1268947086,5
Blackfriars,531738,180890,51.5115869399,-0.1029809772,1
Bow Church,537414,182824,51.5276152056,-0.0204854861,2
Bow Road,537148,182753,51.5270418092,-0.0243451777,2
Bromley-by-Bow,538034,182532,51.5248402011,-0.0116679621,2/3
Cannon Street,532623,180888,51.5113620995,-0.0902361189,1
Chiswick Park,520352,178692,51.4943707463,-0.2677225197,3
Dagenham East,550284,185033,51.5441873181,0.16584785,5
Dagenham Heathway,549035,184665,51.5412117723,0.1476941376,5
Ealing Broadway,517920,180915,51.5148620115,-0.3019959725,3
Ealing Common,518963,180426,51.5102486905,-0.2871370104,3
Earls Court,525457,178480,51.4913566953,-0.1942994077,1/2
East Ham,542373,184255,51.539246158,0.0515307101,3/4
East Putney,524387,174840,51.4588798089,-0.2109838428,2/3
Edgware Road (Circle/District/Hammersmith and City),527227,181711,51.5199980632,-0.1676538436,1
Elm Park,552446,185647,51.5491245594,0.1972671018,6
Embankment,530406,180380,51.5073125093,-0.1223529298,1
Fulham Broadway,525402,177244,51.480260927,-0.1955297656,2
Gloucester Road,526196,178848,51.4944995797,-0.1835291569,1
Gunnersbury,519843,178401,51.4918634447,-0.2751497341,3
Hammersmith (District),523474,178483,51.4918198029,-0.222846527,2
High Street Kensington,525622,179527,51.5007294684,-0.191551653,1
Hornchurch,553931,186274,51.5543550822,0.2189414181,6
Kensington (Olympia),524324,179178,51.4978797245,-0.2103648387,2
Kew Gardens,519173,176708,51.4767891708,-0.2853666145,3/4
Mansion House,532347,180962,51.5120917612,-0.0941832495,1
Monument,532907,180814,51.510630426,-0.0861739059,1
Notting Hill Gate,525296,180481,51.5093753599,-0.1959072111,1/2
Paddington,526680,181185,51.5153938065,-0.1757223428,1
Parsons Green,525029,176645,51.4749601768,-0.2011100959,2
Plaistow,540058,183305,51.5312883323,0.0177950563,3
Putney Bridge,524476,175842,51.4678653627,-0.2093510226,2
Ravenscourt Park,522558,178711,51.494068009,-0.2359548307,2
Richmond,518072,175174,51.4632329223,-0.3017247413,4
Sloane Square,528080,178657,51.4923597829,-0.1564744555,1
South Kensington,526865,178817,51.4940713864,-0.1739086206,1
Southfields,524730,173291,51.4448833383,-0.2065949986,3
St. James's Park,529629,179503,51.4996098103,-0.1338643511,1
Stamford Brook,521913,178738,51.4944499973,-0.245231907,2
Stepney Green,535566,182149,51.5219958389,-0.047368112,2
Temple,530995,180810,51.5110406207,-0.1137113424,1
Tower Hill,533566,180805,51.5103942821,-0.0766867908,1
Turnham Green,521267,178804,51.495181972,-0.2545101653,2
Upminster,556167,186833,51.5587633252,0.2514152239,6
Upminster Bridge,555002,186681,51.5577187717,0.2345563112,6
Upney,545844,184260,51.5384056347,0.1015461606,4
Upton Park,541204,183931,51.5366281959,0.0345562556,3
Victoria,528941,179131,51.4964239699,-0.1439063031,1
West Brompton,525383,178030,51.4873289382,-0.1955244115,2
West Ham,539202,182974,51.5285255182,0.0053318073,3
West Kensington,524635,178321,51.4901093872,-0.2061892935,2
Westminster,530240,179718,51.5014016062,-0.1249876744,1
Whitechapel,534738,181859,51.5195877923,-0.0594060746,2
Wimbledon,524791,170647,51.4211078698,-0.2066484564,3
Wimbledon Park,525274,172158,51.4345809765,-0.1991718915,3
