Station,OS X,OS Y,Latitude,Longitude,Zone
Aldgate East,533809,181333,51.5150816311,-0.0729870535,1
Baker Street,527965,182078,51.5231296392,-0.1568897827,1
Barbican,532079,181859,51.520215295,-0.0977071679,1
Barking,544405,184343,51.5395211029,0.0808460269,4
Bow Road,537148,182753,51.5270418092,-0.0243451777,2
Bromley-by-Bow,538034,182532,51.5248402011,-0.0116679621,2/3
East Ham,542373,184255,51.539246158,0.0515307101,3/4
Edgware Road (Circle/District/Hammersmith and City),527227,181711,51.5199980632,-0.1676538436,1
Euston Square,529587,182735,51.5286643464,-0.1332820584,1
Farringdon,531585,181844,51.5201957006,-0.1048286512,1
Goldhawk Road,523131,179616,51.502076994,-0.2273896013,2
Great Portland Street,528861,182174,51.5237888131,-0.1439470134,1
Hammersmith (Met.),523346,178665,51.4934833792,-0.2246257552,2
Kings Cross St. Pancras,530236,182935,51.5303124769,-0.1238577156,1
Ladbroke Grove,524284,181328,51.5172106987,-0.2101837627,2
Latimer Road,523789,180954,51.5139581247,-0.2174452573,2
Liverpool Street,533160,181596,51.5175982739,-0.0822352123,1
Mile End,536577,182545,51.5253109739,-0.0326516719,2
Moorgate,532688,181677,51.5184371494,-0.0890032776,1
Paddington,526680,181185,51.5153938065,-0.1757223428,1
Plaistow,540058,183305,51.5312883323,0.0177950563,3
Royal Oak,525764,181485,51.5182943753,-0.1888092635,2
Shepherds Bush Market,523121,180039,51.5058807355,-0.2273860872,2
Stepney Green,535566,182149,51.5219958389,-0.047368112,2
Upton Park,541204,183931,51.5366281959,0.0345562556,3
West Ham,539202,182974,51.5285255182,0.0053318073,3
Westbourne Park,524920,181764,51.5209888655,-0.2008681042,2
Whitechapel,534738,181859,51.5195877923,-0.0594060746,2
Wood Lane,523314,180464,51.5096582218,-0.2244582013,2
