Station,OS X,OS Y,Latitude,Longitude,Zone
Baker Street,527965,182078,51.5231296392,-0.1568897827,1
Bermondsey,534461,179445,51.4979607876,-0.0643156863,2
Bond Street,528497,181053,51.5137975426,-0.1495992011,1
Canada Water,535399,179493,51.4981684176,-0.0507927171,2
Canary Wharf,537558,180153,51.5035784062,-0.0194524346,2
Canning Town,539454,181350,51.5138702857,0.0083200415,3
Canons Park,518208,191246,51.6076506052,-0.2943771583,5
Dollis Hill,522207,185132,51.5518506195,-0.238783341,3
Finchley Road,526293,184703,51.5470962203,-0.1800361413,2
Green Park,529012,180283,51.5067605015,-0.1424631691,1
Kilburn,524589,184644,51.54694446,-0.2046183,2
Kingsbury,519361,188739,51.5848765507,-0.2785871772,4
London Bridge,532937,180152,51.5046743576,-0.0859911923,1
Neasden,521415,185422,51.5546277472,-0.2501006238,3
North Greenwich,539168,179827,51.5002551516,0.0036006636,2/3
Queensbury,518802,189728,51.5938830101,-0.2863171635,4
Southwark,531566,180025,51.5038536329,-0.1057805339,1
St. Johns Wood,526742,183352,51.5348544317,-0.1740504251,2
Stanmore,517574,192569,51.6196734807,-0.3030848509,5
Stratford,538533,184421,51.5416925793,-0.0037372234,3
Swiss Cottage,526611,184259,51.5430348677,-0.1756121865,2
Waterloo,531050,179933,51.5031466531,-0.1132448466,1
Wembley Park,519373,186341,51.5633224919,-0.2792281284,4
West Ham,539202,182974,51.5285255182,0.0053318073,3
West Hampstead,525524,184726,51.547474356,-0.1911121662,2
Westminster,530240,179718,51.5014016062,-0.1249876744,1
Willesden Green,523350,184884,51.5493733132,-0.2223931842,2/3
