Station,OS X,OS Y,Latitude,Longitude,Zone
Acton Town,519457,179639,51.5030714769,-0.2802882962,3
Aldgate,533629,181246,51.5143423875,-0.0756125037,1
Aldgate East,533809,181333,51.5150816311,-0.0729870535,1
Alperton,518025,183849,51.5412093106,-0.2995013415,4
Amersham,496454,198181,51.6741293921,-0.6064993306,9
Angel,531497,183263,51.5329680281,-0.1055670341,1
Archway,529356,186827,51.5654905502,-0.1351071516,2/3
Arnos Grove,529271,192471,51.6162301577,-0.1342557776,4
Arsenal,531429,186107,51.5585413882,-0.1054855107,2
Baker Street,527965,182078,51.5231296392,-0.1568897827,1
Balham,528482,173195,51.4431825802,-0.1526707768,3
Bank,532704,181111,51.5133470727,-0.0889857153,1
Barbican,532079,181859,51.520215295,-0.0977071679,1
Barking,544405,184343,51.5395211029,0.0808460269,4
Barkingside,544788,189510,51.5858506025,0.0884910712,4
Barons Court,524133,178322,51.4902287077,-0.2134157438,2
Bayswater,525845,180799,51.5121113109,-0.1878871657,1
Becontree,547598,184442,51.5395853931,0.1268947086,5
Belsize Park,527399,185075,51.5501908973,-0.1639600724,2
Bermondsey,534461,179445,51.4979607876,-0.0643156863,2
Bethnal Green,534995,182712,51.5271917475,-0.0553776986,2
Blackfriars,531738,180890,51.5115869399,-0.1029809772,1
Blackhorse Road,535914,189256,51.5857766314,-0.03961128,3
Bond Street,528497,181053,51.5137975426,-0.1495992011,1
Borough,532379,179734,51.5010488804,-0.0941829184,1
Boston Manor,516391,178755,51.4957655746,-0.3247327859,4
Bounds Green,529996,191466,51.607031936,-0.1241626274,3/4
Bow Church,537414,182824,51.5276152056,-0.0204854861,2
Bow Road,537148,182753,51.5270418092,-0.0243451777,2
Brent Cross,523905,187927,51.5765992408,-0.213321412,3
Brixton,531076,175437,51.4627368156,-0.1145377049,2
Bromley-by-Bow,538034,182532,51.5248402011,-0.0116679621,2/3
Buckhurst Hill,541768,193957,51.6265766547,0.0467269858,5
Burnt Oak,520303,190728,51.6025519438,-0.2643162756,4
Caledonian Road,530568,184899,51.547885455,-0.1183464424,2
Camden Town,528920,183976,51.5399693693,-0.1424379641,2
Canada Water,535399,179493,51.4981684176,-0.0507927171,2
Canary Wharf,537558,180153,51.5035784062,-0.0194524346,2
Canning Town,539454,181350,51.5138702857,0.0083200415,3
Cannon Street,532623,180888,51.5113620995,-0.0902361189,1
Canons Park,518208,191246,51.6076506052,-0.2943771583,5
Chalfont and Latimer,499610,197550,51.6679075477,-0.5610533204,8
Chalk Farm,528126,184421,51.5441491048,-0.1537186526,2
Chancery Lane,531096,181642,51.5184940298,-0.1119476172,1
Charing Cross,530234,180492,51.5083586448,-0.1247885311,1
Chesham,496048,201650,51.7053800954,-0.6114151884,9
Chigwell,543835,193045,51.6178578625,0.0761936567,4
Chiswick Park,520352,178692,51.4943707463,-0.2677225197,3
Chorleywood,502596,196092,51.6542659897,-0.5183194739,7
Clapham Common,529428,175291,51.4618036863,-0.1383005101,2
Clapham North,530003,175652,51.4649162304,-0.1298956695,2
Clapham South,528782,174259,51.4526765067,-0.1479696801,2/3
