Station,OS X,OS Y,Latitude,Longitude,Zone
Aldgate,533629,181246,51.5143423875,-0.0756125037,1
Amersham,496454,198181,51.6741293921,-0.6064993306,9
Baker Street,527965,182078,51.5231296392,-0.1568897827,1
Barbican,532079,181859,51.520215295,-0.0977071679,1
Chalfont and Latimer,499610,197550,51.6679075477,-0.5610533204,8
Chesham,496048,201650,51.7053800954,-0.6114151884,9
Chorleywood,502596,196092,51.6542659897,-0.5183194739,7
Croxley,507921,195395,51.6470053339,-0.4415893477,7
Eastcote,511191,187627,51.5765518715,-0.3968088711,5
Euston Square,529587,182735,51.5286643464,-0.1332820584,1
Farringdon,531585,181844,51.5201957006,-0.1048286512,1
Finchley Road,526293,184703,51.5470962203,-0.1800361413,2
Great Portland Street,528861,182174,51.5237888131,-0.1439470134,1
Harrow-on-the-Hill,515329,188035,51.5793881596,-0.3369870881,5
Hillingdon,507567,185015,51.5537775707,-0.4498835725,6
Ickenham,508127,185811,51.5608251071,-0.4415650894,6
Kings Cross St. Pancras,530236,182935,51.5303124769,-0.1238577156,1
Liverpool Street,533160,181596,51.5175982739,-0.0822352123,1
Moor Park,508563,193509,51.6299307181,-0.4328985823,6/7
Moorgate,532688,181677,51.5184371494,-0.0890032776,1
North Harrow,513540,188578,51.584631343,-0.3626185624,5
Northwick Park,516634,187967,51.5785087266,-0.3181849629,4
Northwood Hills,510267,190305,51.6008026951,-0.4092969219,6
Pinner,512233,189409,51.5923617244,-0.3812093569,5
Preston Road,518260,187292,51.5721037639,-0.2949575855,4
Rickmansworth,505717,194605,51.6403230722,-0.4736701358,7
Ruislip,509510,187102,51.5721619722,-0.4212204991,6
Ruislip Manor,510088,187258,51.5734516247,-0.4128349271,6
Uxbridge,505698,184161,51.5464545647,-0.4770871411,6
Watford,509579,196610,51.6576051469,-0.4172555529,7
Wembley Park,519373,186341,51.5633224919,-0.2792281284,4
West Harrow,514163,187957,51.578924281,-0.3538322681,5
