Station,OS X,OS Y,Latitude,Longitude,Zone
Acton Town,519457,179639,51.5030714769,-0.2802882962,3
Alperton,518025,183849,51.5412093106,-0.2995013415,4
Arnos Grove,529271,192471,51.6162301577,-0.1342557776,4
Arsenal,531429,186107,51.5585413882,-0.1054855107,2
Barons Court,524133,178322,51.4902287077,-0.2134157438,2
Boston Manor,516391,178755,51.4957655746,-0.3247327859,4
Bounds Green,529996,191466,51.607031936,-0.1241626274,3/4
Caledonian Road,530568,184899,51.547885455,-0.1183464424,2
Cockfosters,528087,196424,51.6520244968,-0.1499022586,5
Covent Garden,530242,180982,51.5127602496,-0.1244924862,1
Ealing Common,518963,180426,51.5102486905,-0.2871370104,3
Earls Court,525457,178480,51.4913566953,-0.1942994077,1/2
Eastcote,511191,187627,51.5765518715,-0.3968088711,5
Finsbury Park,531385,186784,51.5646354581,-0.1058670614,2
Gloucester Road,526196,178848,51.4944995797,-0.1835291569,1
Green Park,529012,180283,51.5067605015,-0.1424631691,1
Hammersmith (District),523474,178483,51.4918198029,-0.222846527,2
Hatton Cross,509614,175369,51.4666853556,-0.4233661699,5/6
Heathrow Terminal 4,507939,174565,51.4597804841,-0.4477151986,6
Heathrow Terminal 5,504934,175642,51.4700254856,-0.4906331087,6
Heathrow Terminals 1 2 3,507587,175838,51.4712894557,-0.4523928306,6
Hillingdon,507567,185015,51.5537775707,-0.4498835725,6
Holborn,530553,181488,51.5172357493,-0.1198260976,1
Holloway Road,530930,185457,51.5528161167,-0.1129212759,2
Hounslow Central,513592,175928,51.4709258103,-0.3659437342,4
Hounslow East,514327,176254,51.4737079375,-0.355260926,4
Hounslow West,512215,176140,51.4731057626,-0.385693233,5
Hyde Park Corner,528330,179801,51.5025840309,-0.1524597088,1
Ickenham,508127,185811,51.5608251071,-0.4415650894,6
Kings Cross St. Pancras,530236,182935,51.5303124769,-0.1238577156,1
Knightsbridge,527765,179650,51.5013549168,-0.1606500813,1
Leicester Square,529987,180812,51.5112911968,-0.1282277396,1
Manor House,532074,187482,51.5707471515,-0.0956705495,2/3
North Ealing,518816,181243,51.5176223238,-0.2889791428,3
Northfields,517051,179296,51.5004917086,-0.3150504144,3
Oakwood,529349,195968,51.6476379762,-0.1318390887,5
Osterley,514529,177094,51.4812168528,-0.3520816978,4
Park Royal,519074,182274,51.5268340546,-0.284914505,3
Piccadilly Circus,529612,180625,51.5096967645,-0.1336971897,1
Rayners Lane,512979,187538,51.5753967774,-0.3710463858,5
Ruislip,509510,187102,51.5721619722,-0.4212204991,6
Ruislip Manor,510088,187258,51.5734516247,-0.4128349271,6
Russell Square,530207,182122,51.5230130529,-0.1245757861,1
South Ealing,517605,179437,51.5016440579,-0.3070258402,3
South Kensington,526865,178817,51.4940713864,-0.1739086206,1
Southgate,529675,194278,51.6323758634,-0.127755601,4
Sudbury Hill,515427,185584,51.5573396001,-0.3363776928,4
Sudbury Town,516832,184955,51.5513974809,-0.3163290653,4
Turnham Green,521267,178804,51.495181972,-0.2545101653,2
Turnpike Lane,531524,189650,51.590358146,-0.1027906082,3
Uxbridge,505698,184161,51.5464545647,-0.4770871411,6
Wood Green,531038,190427,51.5974537413,-0.1095121543,3
