Station,OS X,OS Y,Latitude,Longitude,Zone
Blackhorse Road,535914,189256,51.5857766314,-0.03961128,3
Brixton,531076,175437,51.4627368156,-0.1145377049,2
Finsbury Park,531385,186784,51.5646354581,-0.1058670614,2
Green Park,529012,180283,51.5067605015,-0.1424631691,1
Highbury and Islington,531562,184770,51.5464955189,-0.1040677208,2
Kings Cross St. Pancras,530236,182935,51.5303124769,-0.1238577156,1
Oxford Circus,529102,181227,51.5152234192,-0.1408217621,1
Pimlico,529711,178386,51.4895528779,-0.1330938573,1
Seven Sisters,533646,188927,51.5833621684,-0.0724523921,3
Stockwell,530473,176470,51.4721592703,-0.1228319086,2
Tottenham Hale,534483,189465,51.587997785,-0.0601733905,3
Vauxhall,530366,177978,51.4857358164,-0.1238155529,1/2
Victoria,528941,179131,51.4964239699,-0.1439063031,1
Walthamstow Central,537286,188986,51.5830181153,-0.0199261144,3
Warren Street,529253,182272,51.5245800051,-0.1382639195,1
